id,name,year,month,day,type,enabled,plural,link,uuid,creation_ts,editing_ts
18,the fall of the Berlin Wall,1989,11,9,history,1,0,https://en.wikipedia.org/wiki/Berlin_Wall,505e0b4e-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
19,the construction of the Berlin Wall,1961,8,13,history,1,0,https://en.wikipedia.org/wiki/Berlin_Wall,505e0b7d-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
20,the dissolution of the Soviet Union,1991,12,26,history,1,0,https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union,505e0bab-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
21,"""Pretty Woman"" with Julia Roberts",1990,,,film,1,0,https://en.wikipedia.org/wiki/Pretty_Woman,505e0bda-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
22,"""Mary Poppins"" with Julie Andrews",1964,,,film,1,0,https://en.wikipedia.org/wiki/Mary_Poppins_(film),505e0d5a-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
23,"the setting of ""Back to the Future""",1955,11,5,film,1,0,https://en.wikipedia.org/wiki/Back_to_the_Future,505e0d8b-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
24,"the release of ""Back to the Future""",1985,,,film,1,0,https://en.wikipedia.org/wiki/Back_to_the_Future,505e0db5-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
25,the construction of the Empire State Building,1931,,,building,1,0,https://en.wikipedia.org/wiki/Empire_State_Building,505e0e10-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
26,the assassination of Abraham Lincoln,1865,4,14,history,1,0,https://en.wikipedia.org/wiki/Assassination_of_Abraham_Lincoln,505e0e40-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
27,the sinking of the Titanic,1912,4,15,history,1,0,https://en.wikipedia.org/wiki/Sinking_of_the_RMS_Titanic,505e0e6d-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
28,"the setting of ""Nineteen Eighty-Four""",1984,,,book,1,0,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,505e0e9c-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
29,"the release of ""Nineteen Eighty-Four""",1949,,,book,1,0,https://en.wikipedia.org/wiki/Nineteen_Eighty-Four,505e1011-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
30,the coronation of Queen Elizabeth II,1953,6,2,history,1,0,https://en.wikipedia.org/wiki/Coronation_of_Queen_Elizabeth_II,505e1041-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
31,the last murder by Jack the Ripper,1888,11,9,history,1,0,https://en.wikipedia.org/wiki/Jack_the_Ripper,505e106b-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
32,"""2001: A Space Odyssey"" by Stanley Kubrick",1968,4,2,film,1,0,https://en.wikipedia.org/wiki/2001:_A_Space_Odyssey_(film),505e1098-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2018-04-02 10:28:42
33,"""Snow White and the Seven Dwarfs"" by Walt Disney",1937,,,film,1,0,https://en.wikipedia.org/wiki/Snow_White_and_the_Seven_Dwarfs_(1937_film),505e10f5-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
34,"""Mona Lisa"" by Leonardo da Vinci",1506,,,art,1,0,https://en.wikipedia.org/wiki/Mona_Lisa,505e128b-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
35,the Spanish flu pandemic,1918,,,history,1,0,https://en.wikipedia.org/wiki/1918_flu_pandemic,505e12bf-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
36,"""Guernica"" by Picasso",1937,,,art,1,0,https://en.wikipedia.org/wiki/Guernica_(Picasso),505e12e9-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
37,"""On the Origin of Species"" by Charles Darwin",1859,11,24,science,1,0,https://en.wikipedia.org/wiki/On_the_Origin_of_Species,505e1314-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
38,"""The Prince"" by Niccolò Machiavelli",1513,,,book,1,0,https://en.wikipedia.org/wiki/The_Prince,505e1431-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
39,the first circumnavigation of the Earth,1522,,,history,1,0,https://en.wikipedia.org/wiki/Magellan-Elcano_circumnavigation,505e145f-f700-11e6-a7a0-0cc47a1f485c,2017-02-20 14:28:31,2017-02-20 14:28:31
